year,month,DT_NOTIFICACAO,SG_UF_NOT,ID_MUNICIP,DT_CARGA,count
2020,1,2020-01-09,RS,PORTO ALEGRE,2024-08-04,1
2020,1,2020-01-14,CE,BARBALHA,2024-08-04,1
2020,1,2020-01-17,PR,UMUARAMA,2024-08-04,1
2020,1,2020-01-08,MG,BELO HORIZONTE,2024-08-04,1
2020,1,2020-01-11,SP,LIMEIRA,2024-08-04,1
2020,2,2020-02-03,SP,JUNDIAI,2024-08-04,1
2020,2,2020-02-03,SP,PARIQUERA-ACU,2024-08-04,1
2020,2,2020-02-10,RN,MOSSORO,2024-08-04,1
2020,2,2020-02-27,PI,TERESINA,2024-08-04,3
2020,1,2020-01-20,SP,FRANCA,2024-08-04,1
2020,2,2020-02-27,MT,CUIABA,2024-08-04,1
2020,3,2020-03-03,SP,FERRAZ DE VASCONCELOS,2024-08-04,1
2020,3,2020-03-11,BA,JUAZEIRO,2024-08-04,3
2020,3,2020-03-11,SP,MARILIA,2024-08-04,2
2020,3,2020-03-14,RO,VILHENA,2024-08-04,1
2020,3,2020-03-12,MG,ALEM PARAIBA,2024-08-04,2
2020,3,2020-03-22,SP,COTIA,2024-08-04,3
2020,3,2020-03-17,PR,PITANGA,2024-08-04,1
2020,3,2020-03-24,MG,ITANHANDU,2024-08-04,1
2020,3,2020-03-26,SP,TAUBATE,2024-08-04,3
2020,3,2020-03-17,PR,CORNELIO PROCOPIO,2024-08-04,2
2020,3,2020-03-26,SP,UBATUBA,2024-08-04,1
2020,3,2020-03-26,SC,MAFRA,2024-08-04,1
2020,3,2020-03-24,PA,PARAUAPEBAS,2024-08-04,1
2020,3,2020-03-22,MS,RIBAS DO RIO PARDO,2024-08-04,1
2020,3,2020-03-28,MS,NAVIRAI,2024-08-04,2
2020,3,2020-03-30,SP,ITATIBA,2024-08-04,5
2020,3,2020-03-29,MT,LUCAS DO RIO VERDE,2024-08-04,1
2020,3,2020-03-23,MG,ALFENAS,2024-08-04,4
2020,3,2020-03-31,PB,POMBAL,2024-08-04,1
2020,3,2020-03-28,ES,CACHOEIRO DE ITAPEMIRIM,2024-08-04,2
2020,3,2020-03-24,MG,TAIOBEIRAS,2024-08-04,1
2020,3,2020-03-20,MG,RIO VERMELHO,2024-08-04,1
2020,3,2020-03-31,SP,PILAR DO SUL,2024-08-04,2
2020,3,2020-03-22,MG,EXTREMA,2024-08-04,1
2020,4,2020-04-01,SP,SANTA CRUZ DO RIO PARDO,2024-08-04,1
2020,3,2020-03-02,SP,PEDERNEIRAS,2024-08-04,1
2020,4,2020-04-01,SP,IBIUNA,2024-08-04,1
2020,4,2020-04-04,SP,OSASCO,2024-08-04,13
2020,4,2020-04-06,PR,IRATI,2024-08-04,1
2020,4,2020-04-04,MG,GOVERNADOR VALADARES,2024-08-04,3
2020,4,2020-04-02,RS,MONTENEGRO,2024-08-04,3
2020,4,2020-04-06,BA,UTINGA,2024-08-04,1
2020,4,2020-04-05,PR,MEDIANEIRA,2024-08-04,1
2020,4,2020-04-07,RS,IJUI,2024-08-04,1
2020,4,2020-04-08,BA,SALVADOR,2024-08-04,22
2020,4,2020-04-08,SE,ARACAJU,2024-08-04,2
2020,4,2020-04-09,PR,PARANAVAI,2024-08-04,1
2020,4,2020-04-09,SP,GUARUJA,2024-08-04,8
2020,4,2020-04-09,SC,LAGUNA,2024-08-04,1
2020,4,2020-04-09,SP,ITAPEVI,2024-08-04,2
2020,4,2020-04-04,SP,CRUZEIRO,2024-08-04,13
2020,4,2020-04-13,MG,UBA,2024-08-04,3
2020,4,2020-04-13,PE,RECIFE,2024-08-04,132
2020,4,2020-04-12,PB,PRINCESA ISABEL,2024-08-04,2
